gender;q1_focus_difficulty;q2_overthinking;q3_overwhelmed;q4_anxious;q5_restless;q6_depressed;q7_sleep_problem;q8_fatigue;q9_headache_tension;q10_responsibility_difficulty;q11_irritable;q12_social_withdrawal;q13_control_stress;q14_calm_self;q15_handle_problem;pss_total_score;stress_level;quality_of_sleep;physical_activity_level;heart_rate;daily_steps;screen_time_hours;study_hours;daily_pressure;bmi_category
1;3.0;2.0;2.0;4.0;4.0;2.0;2.0;2.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;45.0;2;8;60;65;5000;9.3;5.5;Low;0
1;3.0;2.0;2.0;4.0;4.0;2.0;2.0;2.0;4.0;3.0;2.0;3.0;3.0;4.0;3.0;43.0;2;8;60;65;5000;6.3;5.5;Low;0
1;4.0;4.0;2.0;4.0;4.0;4.0;2.0;2.0;4.0;4.0;2.0;1.0;3.0;4.0;3.0;47.0;2;8;60;65;5000;2.5;2.5;High;0
1;2.0;3.0;2.0;4.0;4.0;3.0;2.0;1.0;4.0;2.0;2.0;2.0;3.0;4.0;3.0;41.0;2;8;60;70;8000;4.6;4.1;Low;1
1;3.0;4.0;2.0;5.0;5.0;4.0;2.0;2.0;5.0;3.0;2.0;2.0;3.0;3.0;3.0;48.0;2;7;60;84;3300;4.0;2.7;Medium;2
0;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;48.0;2;8;60;68;7000;10.4;3.5;Medium;0
0;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;4.0;3.0;4.0;3.0;51.0;2;8;60;68;7000;8.1;4.1;High;0
0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;2.0;2.0;5.0;3.0;4.0;3.0;42.0;2;8;60;68;7000;9.8;4.2;Low;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;2.0;3.0;4.0;3.0;47.0;2;8;60;68;7000;4.3;2.9;High;0
0;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;48.0;2;8;60;68;7000;10.6;2.9;Medium;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;5.0;3.0;4.0;3.0;50.0;2;8;60;68;7000;11.3;6.4;Medium;0
0;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;5.0;3.0;4.0;3.0;52.0;2;8;60;68;7000;11.0;5.5;High;0
0;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;48.0;2;8;60;68;7000;10.0;2.8;Medium;0
0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;2.0;2.0;2.0;3.0;4.0;3.0;39.0;2;8;60;68;7000;3.7;2.6;Low;0
1;2.0;4.0;3.0;5.0;5.0;4.0;4.0;2.0;5.0;2.0;4.0;5.0;2.0;2.0;2.0;51.0;2;5;35;74;4800;10.9;3.7;Low;3
0;3.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;44.0;2;8;60;68;7000;10.2;5.5;Low;0
1;5.0;5.0;3.0;5.0;5.0;5.0;4.0;2.0;5.0;5.0;4.0;4.0;2.0;2.0;2.0;58.0;0;5;35;74;4800;8.5;3.8;High;3
0;5.0;4.0;3.0;5.0;5.0;4.0;3.0;2.0;5.0;5.0;3.0;3.0;2.0;3.0;2.0;54.0;2;6;42;77;4200;6.7;7.4;Medium;3
1;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;5.0;4.0;4.0;3.0;53.0;2;8;70;68;7000;11.6;7.1;Medium;1
1;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;5.0;4.0;4.0;3.0;53.0;2;8;70;68;7000;11.4;7.9;Medium;1
1;5.0;5.0;2.0;4.0;4.0;5.0;2.0;1.0;4.0;5.0;2.0;3.0;3.0;4.0;3.0;52.0;2;8;60;68;8000;5.1;5.3;High;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;2.0;3.0;4.0;3.0;47.0;2;8;60;68;7000;3.7;3.6;High;0
1;5.0;5.0;2.0;4.0;4.0;5.0;2.0;1.0;4.0;5.0;2.0;5.0;3.0;4.0;3.0;54.0;2;8;60;68;8000;11.3;7.2;High;0
0;4.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;4.0;2.0;1.0;3.0;4.0;3.0;42.0;2;8;60;68;7000;2.6;7.5;Low;0
1;3.0;3.0;2.0;4.0;4.0;3.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;46.0;2;8;60;68;8000;11.3;4.9;Low;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;4.0;3.0;4.0;3.0;49.0;2;8;60;68;7000;7.4;3.6;High;0
0;3.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;44.0;2;8;60;68;7000;10.2;6.1;Low;0
0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;2.0;2.0;5.0;3.0;4.0;3.0;42.0;2;8;60;68;7000;9.7;3.7;Low;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;4.0;3.0;4.0;3.0;49.0;2;8;60;68;7000;8.9;5.9;Medium;0
0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;2.0;2.0;3.0;3.0;4.0;3.0;40.0;2;8;60;68;7000;6.4;4.7;Low;0
0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;2.0;2.0;5.0;3.0;4.0;3.0;42.0;2;8;60;68;7000;9.5;3.6;Low;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;2.0;3.0;4.0;3.0;47.0;2;8;60;68;7000;3.1;4.6;Medium;0
0;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;1.0;3.0;4.0;3.0;44.0;2;8;60;68;7000;2.4;3.6;Medium;0
0;3.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;44.0;2;8;60;68;7000;11.4;6.0;Low;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;2.0;3.0;4.0;3.0;47.0;2;8;60;68;7000;4.0;3.1;High;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;4.0;3.0;4.0;3.0;49.0;2;8;60;68;7000;7.6;6.3;Medium;0
0;3.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;44.0;2;8;60;70;8000;10.7;6.7;Low;1
1;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;2.0;3.0;4.0;3.0;47.0;2;8;60;68;8000;4.0;4.6;Medium;0
0;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;48.0;2;8;60;68;7000;10.7;2.4;Medium;0
1;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;2.0;3.0;4.0;3.0;45.0;2;8;60;68;8000;3.9;2.6;Medium;0
1;3.0;3.0;2.0;4.0;4.0;3.0;2.0;1.0;4.0;3.0;2.0;2.0;3.0;4.0;3.0;43.0;2;8;60;68;8000;4.1;6.7;Low;0
0;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;5.0;3.0;4.0;3.0;52.0;2;8;60;68;7000;9.5;5.9;High;0
1;5.0;5.0;2.0;4.0;4.0;5.0;2.0;1.0;4.0;5.0;2.0;2.0;3.0;4.0;3.0;51.0;2;8;60;68;8000;3.7;4.9;High;0
1;4.0;5.0;2.0;4.0;4.0;5.0;2.0;1.0;4.0;4.0;2.0;3.0;3.0;4.0;3.0;50.0;2;8;60;68;8000;6.4;3.6;High;0
0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;5.0;3.0;4.0;3.0;50.0;2;8;60;68;7000;10.0;2.4;High;0
1;4.0;5.0;2.0;4.0;4.0;5.0;2.0;1.0;4.0;4.0;2.0;5.0;3.0;4.0;3.0;52.0;2;8;60;68;8000;9.5;3.7;High;0
1;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;3.0;3.0;4.0;3.0;48.0;2;8;60;68;8000;5.4;4.6;Medium;0
0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;2.0;2.0;4.0;3.0;4.0;3.0;41.0;2;8;60;68;7000;9.0;3.6;Low;0
1;4.0;3.0;2.0;4.0;4.0;3.0;2.0;1.0;4.0;4.0;2.0;1.0;3.0;4.0;3.0;44.0;2;8;60;68;8000;2.4;7.9;Low;0
0;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;4.0;3.0;4.0;3.0;51.0;2;8;60;68;7000;8.2;7.5;High;0
1;5.0;5.0;2.0;4.0;4.0;5.0;2.0;1.0;4.0;5.0;2.0;2.0;3.0;4.0;3.0;51.0;2;8;60;68;8000;4.6;6.0;High;0
0;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;48.0;2;8;60;68;7000;10.9;2.7;Medium;0
1;3.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;3.0;2.0;4.0;3.0;4.0;3.0;47.0;2;8;60;68;8000;8.4;3.5;Medium;0
0;3.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;4.0;3.0;2.0;4.0;3.0;4.0;3.0;43.0;2;8;60;68;7000;7.7;7.2;Low;0
0;5.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;5.0;2.0;4.0;3.0;4.0;3.0;51.0;2;8;60;68;7000;7.0;5.1;High;0
1;3.0;3.0;2.0;4.0;4.0;3.0;2.0;1.0;4.0;3.0;2.0;2.0;3.0;4.0;3.0;43.0;2;8;60;68;8000;3.2;4.8;Low;0
0;2.0;3.0;2.0;5.0;5.0;3.0;2.0;2.0;5.0;2.0;2.0;2.0;3.0;3.0;3.0;44.0;2;7;60;84;3300;4.6;3.3;Low;2
1;4.0;4.0;2.0;4.0;4.0;4.0;2.0;1.0;4.0;4.0;2.0;5.0;3.0;4.0;3.0;50.0;2;8;60;68;8000;11.4;6.5;Medium;0
1;4.0;5.0;3.0;5.0;5.0;5.0;4.0;2.0;5.0;4.0;4.0;3.0;2.0;2.0;2.0;55.0;2;5;40;80;4000;6.1;6.4;Medium;3
0;5.0;5.0;2.0;5.0;5.0;5.0;2.0;2.0;5.0;5.0;3.0;5.0;2.0;3.0;3.0;57.0;0;7;50;75;5500;11.4;7.5;High;1
0;3.0;2.0;1.0;3.0;3.0;2.0;2.0;1.0;3.0;3.0;2.0;3.0;4.0;4.0;4.0;40.0;2;9;80;67;7500;5.3;6.7;Low;1
0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;1.0;3.0;2.0;2.0;5.0;4.0;4.0;4.0;40.0;2;9;80;67;7500;10.4;2.3;Low;1
